latitude,longitude
8.9142633,78.1739148
8.9198687,78.177473
8.9431051,78.1809309
8.8590945,78.1459214
8.9121185,78.1722792
9.0026427,78.1949345
8.9157816,78.1748118
8.8964943,78.1629837
8.9708159,78.1872588
8.9803542,78.1995803
8.9702198,78.1833921
8.8299968,78.1471088
8.9763828,78.1939992
8.947164,78.1822463
8.9177546,78.1757768
8.9535653,78.1820864
8.9322493,78.1803827
8.4986068,78.1192496
8.7971745,78.1471182
8.8037478,78.1472129
8.8041275,78.1471123
8.8043257,78.14704
8.805073,78.1470865
8.8024488,78.1470924
8.8030702,78.1471511
8.8032346,78.1471634
8.803437,78.1472029
8.7979252,78.1477553
8.7988711,78.1476003
8.7992563,78.1475063
8.7995443,78.147478
8.7998422,78.1474099
8.8004503,78.1472297
8.8008805,78.1471676
8.7988018,78.1476114
8.7999476,78.1473722
8.7917062,78.141902
8.7956448,78.144712
8.7227984,78.1140303
8.7843013,78.1408462
8.806246,78.1481346
8.8080265,78.1480677
8.8104827,78.1481001
8.8123689,78.1485139
8.8132846,78.1485394
8.8161006,78.1480992
8.8202974,78.1477268
8.8207527,78.147681
8.8211515,78.1476477
8.8215112,78.1476185
8.8222038,78.1475588
8.8229644,78.1476004
8.8245104,78.1476837
8.8253027,78.1475973
8.8256329,78.147563
8.8258236,78.1475536
8.8260975,78.147538
8.826499,78.1475304
8.8267143,78.1475243
8.8267963,78.1475213
8.8273079,78.1475008
8.8280158,78.1474743
8.8297796,78.1471904
8.831847,78.1460167
8.8338527,78.1452006
8.8365684,78.1437016
8.837793,78.1431436
8.838189,78.1430787
8.8396134,78.1429949
8.84492,78.1425707
8.8495597,78.1431751
8.8562712,78.1447377
8.8653212,78.1486631
8.8700827,78.1511346
8.7225458,78.1139446
8.8065319,78.1481339
8.8069478,78.1480869
8.807427,78.148072
8.2788719,77.8918526
8.2779624,77.8914339
8.809718,78.1480723
8.8099252,78.1480301
8.8528614,78.1438799
8.3052366,77.9193336
8.8078628,78.1480689
8.8198328,78.1477761
8.8193375,78.1478116
8.8188788,78.1478523
8.8176044,78.1479655
8.8180186,78.1479287
8.818437,78.1478916
8.8103749,78.1480804
8.8109074,78.1481816
8.8114846,78.1483313
8.767942,78.1336572
8.8119291,78.1484449
8.8177278,78.1479545
8.8192737,78.1478173
8.8215839,78.1476122
8.8156546,78.1481776
8.8160461,78.1481088
8.8164497,78.1480682
8.3384656,77.97514
8.3394532,77.9748201
8.3389224,77.9750133
8.3413905,77.9749703
8.3442248,77.9762793
8.3479135,77.9776391
8.3478498,77.9775587
8.3492139,77.979809
8.3496491,77.9802489
8.3507372,77.9813701
8.3530035,77.9823679
8.3546647,77.9852083
8.354341,77.9842025
8.3542083,77.9827695
8.3541008,77.9826234
8.337353,77.9738927
8.3363591,77.9716859
8.33738,77.9739232
8.3369986,77.9734921
8.322017,77.9398186
8.32097,77.9389724
8.3204764,77.9387853
8.3178054,77.9341208
8.2865215,77.8980994
8.2875017,77.901716
8.2888128,77.9043962
8.289628,77.9063514
9.0058265,78.1984869
8.6259403,78.0696998
8.6283494,78.0688881
8.6298558,78.0686213
8.6249329,78.0701246
8.6203032,78.0704599
8.6232694,78.0702601
8.6075432,78.0722674
8.6145516,78.0707083
8.5796819,78.0887585
8.5738204,78.0932907
8.5725289,78.0940703
8.5716456,78.0945191
8.2993182,77.9112527
8.2865947,77.8986145
8.2870238,77.8938505
8.2874781,77.8950325
8.2876652,77.8941245
8.2871047,77.8938697
8.287709,77.8941393
8.2862679,77.8920076
8.2797224,77.8909141
8.2768158,77.8905214
8.2764874,77.8906089
8.2760582,77.8896546
8.2754554,77.8886131
8.2751921,77.8887523
8.2749859,77.8901508
8.2748895,77.8889122
8.2745802,77.8890755
8.275166,77.8887661
8.2806653,77.8901438
8.2804358,77.8903314
8.2743674,77.8891879
9.0031667,78.1943536
9.0029567,78.1944734
8.3781753,78.0522357
8.3435461,77.9759201
8.3402011,77.9748325
