latitude,longitude
17.4387,78.37864
17.43869,78.37866
17.43868,78.37868
17.43847,78.3789
17.43835,78.37905
17.43824,78.37919
17.43812,78.37933
17.43806,78.37941
17.43805,78.37942
17.43805,78.37943
17.43803,78.37945
17.43793,78.37957
17.43784,78.37967
17.43773,78.3798
17.43762,78.37994
17.43758,78.37999
17.43753,78.38005
17.43751,78.38008
17.4375,78.38009
17.43738,78.38023
17.4373,78.38034
17.43728,78.38037
17.43724,78.38042
17.43721,78.38045
17.43719,78.38048
17.43716,78.38051
17.43695,78.38077
17.43679,78.38097
17.43665,78.38114
17.4366,78.3812
17.43658,78.38122
17.43653,78.38128
17.43631,78.38155
17.43614,78.38176
17.43599,78.38194
17.43598,78.38195
17.43591,78.38203
17.4359,78.38205
17.43589,78.38207
17.43588,78.38208
17.43579,78.3822
17.43577,78.38223
17.43576,78.38224
17.43572,78.38229
17.43568,78.38235
17.43568,78.38236
17.43566,78.38238
17.43565,78.3824
17.43564,78.38242
17.43563,78.38244
17.43563,78.38247
17.43562,78.38253
17.43537,78.38284
17.43503,78.38327
17.43448,78.38398
17.43446,78.384
17.43436,78.38414
17.43431,78.38421
17.43428,78.38426
17.43397,78.38469
17.43375,78.38495
17.43357,78.38518
17.43332,78.3855
17.43312,78.38574
17.43296,78.38594
17.43287,78.38606
17.43275,78.38621
17.4326,78.38643
17.43244,78.38666
17.4324,78.38672
17.43236,78.38678
17.43232,78.38684
17.43229,78.38688
17.43226,78.38692
17.43224,78.38694
17.43222,78.38697
17.43219,78.387
17.43207,78.38711
17.43198,78.3872
17.43187,78.3873
17.43159,78.38753
17.43154,78.38757
17.4315,78.38762
17.43147,78.38766
17.43146,78.38767
17.43144,78.3877
17.43142,78.38774
17.4314,78.38779
17.43139,78.38783
17.43137,78.38788
17.43137,78.38792
17.43136,78.38796
17.43136,78.388
17.43136,78.38806
17.43136,78.38812
17.43137,78.38818
17.43139,78.38827
17.4314,78.38835
17.43144,78.38846
17.43148,78.38863
17.43157,78.38898
17.43166,78.38937
17.43205,78.39094
17.43212,78.39123
17.43214,78.3913
17.43218,78.39146
17.43221,78.39159
17.43223,78.39168
17.43225,78.39176
17.43228,78.39184
17.43229,78.39191
17.43232,78.39199
17.43233,78.392
17.43236,78.39206
17.43241,78.39216
17.43247,78.39224
17.43252,78.3923
17.4326,78.39238
17.43268,78.39245
17.43282,78.39257
17.43297,78.39269
17.4331,78.3928
17.4333,78.39296
17.43341,78.39305
17.43352,78.39315
17.43365,78.39326
17.43372,78.39334
17.43391,78.39354
17.43404,78.39368
17.43418,78.39385
17.43432,78.39401
17.43437,78.39406
17.4344,78.3941
17.43458,78.3943
17.43464,78.39436
17.43478,78.39453
17.43487,78.39464
17.43493,78.39472
